Material,Plant,created On,Daily_Sales,Ph1
10000092,7006,2025-08-01 00:00:00,1,10004
10000092,7006,2025-08-01 00:00:00,1,10004
10000092,7006,2025-08-15 00:00:00,1,10004
10000092,7006,2025-08-15 00:00:00,1,10004
10000092,7006,2025-08-20 00:00:00,1,10004
10000092,7006,2025-08-20 00:00:00,1,10004
10000092,7006,2025-09-12 00:00:00,1,10004
10000092,7006,2025-09-12 00:00:00,1,10004
10000092,7006,2025-09-14 00:00:00,2,10004
10000092,7006,2025-09-14 00:00:00,2,10004
10000092,7007,2025-08-25 00:00:00,2,10004
10000092,7007,2025-08-25 00:00:00,2,10004
10000092,7007,2025-08-29 00:00:00,1,10004
10000092,7007,2025-08-29 00:00:00,1,10004
10000092,7008,2025-08-15 00:00:00,1,10004
10000092,7008,2025-08-15 00:00:00,1,10004
10000092,7008,2025-08-24 00:00:00,2,10004
10000092,7008,2025-08-24 00:00:00,2,10004
10000092,7008,2025-09-04 00:00:00,1,10004
10000092,7008,2025-09-04 00:00:00,1,10004
10000092,7009,2025-07-31 00:00:00,1,10004
10000092,7009,2025-07-31 00:00:00,1,10004
10000092,7009,2025-08-08 00:00:00,1,10004
10000092,7009,2025-08-08 00:00:00,1,10004
10000092,7009,2025-08-17 00:00:00,1,10004
10000092,7009,2025-08-17 00:00:00,1,10004
10000092,7009,2025-08-18 00:00:00,1,10004
10000092,7009,2025-08-18 00:00:00,1,10004
10000092,7009,2025-08-26 00:00:00,1,10004
10000092,7009,2025-08-26 00:00:00,1,10004
10000092,7009,2025-09-02 00:00:00,1,10004
10000092,7009,2025-09-02 00:00:00,1,10004
10000092,7009,2025-09-10 00:00:00,1,10004
10000092,7009,2025-09-10 00:00:00,1,10004
10000092,7009,2025-09-13 00:00:00,1,10004
10000092,7009,2025-09-13 00:00:00,1,10004
10000092,7009,2025-09-22 00:00:00,1,10004
10000092,7009,2025-09-22 00:00:00,1,10004
10000092,7012,2025-08-04 00:00:00,1,10004
10000092,7012,2025-08-04 00:00:00,1,10004
10000092,7012,2025-08-12 00:00:00,1,10004
10000092,7012,2025-08-12 00:00:00,1,10004
10000092,7012,2025-09-07 00:00:00,1,10004
10000092,7012,2025-09-07 00:00:00,1,10004
10000092,7015,2025-07-31 00:00:00,1,10004
